Player Name,Position,Team,League,Minutes,Passes attempted,xPass Rating,Average pass difficulty
Philipp Bargfrede,Mid,Werder Bremen,Bundesliga,2417.083333333333,1027,0.986567679119727,84.38568646543338
Max Kruse,FW,Werder Bremen,Bundesliga,4677.166666666666,1918,0.9683178376663052,83.0267118526245
Aron Jóhannsson,FW,Werder Bremen,Bundesliga,597.9666666666667,134,0.9901784997457652,83.65746268656713
Clemens Fritz,Mid,Werder Bremen,Bundesliga,1300.683333333333,465,0.955700009062672,78.30774193548392
Serge Gnabry,Mid,Werder Bremen,Bundesliga,1965.6833333333327,528,0.9615449878619088,83.71155303030301
Ludwig Augustinsson,Def,Werder Bremen,Bundesliga,2620.2833333333333,1007,1.0153378918710052,77.36355511420075
Milos Veljkovic,Def,Werder Bremen,Bundesliga,4655.733333333334,1885,1.0173865517701672,79.88429708222804
Ishak Belfodil,FW,Werder Bremen,Bundesliga,1421.2499999999998,284,0.950832884328915,77.76725352112682
Fin Bartels,FW,Werder Bremen,Bundesliga,3436.9333333333325,989,0.9744582149572454,81.03852376137529
Marco Friedl,Def,Werder Bremen,Bundesliga,630.9333333333333,259,0.9807158254520028,79.52586872586875
Robert Bauer,Def,Werder Bremen,Bundesliga,3180.566666666666,1028,0.9830425165888408,77.58015564202347
Maximilian Eggestein,Mid,Werder Bremen,Bundesliga,3739.316666666666,1189,0.976154513609923,83.74634146341471
Thomas Delaney,Mid,Werder Bremen,Bundesliga,3880.55,1401,0.9576504699466476,80.79493219129205
Jérôme Gondorf,Mid,Werder Bremen,Bundesliga,843.7166666666667,200,0.8911180986085826,78.55300000000001
Florian Kainz,Mid,Werder Bremen,Bundesliga,2083.416666666666,749,1.0010554988681035,76.02122830440595
Ulisses García,Def,Werder Bremen,Bundesliga,465.9666666666666,157,0.9609797523801012,85.50191082802547
Lamine Sané,Def,Werder Bremen,Bundesliga,3244.65,1193,1.0119969207615032,87.21852472757779
Florian Grillitsch,Mid,Werder Bremen,Bundesliga,1767.4,731,0.983412993020678,84.576607387141
Josip Brekalo,FW,Wolfsburg,Bundesliga,943.5833333333336,320,0.9852293786017556,79.93062500000003
Felix Uduokhai,Def,Wolfsburg,Bundesliga,1641.533333333333,766,1.012528013519966,88.834856396867
John Brooks,Def,Wolfsburg,Bundesliga,734.5166666666668,300,1.037504857409104,88.35300000000008
Paul Verhaegh,Def,Wolfsburg,Bundesliga,2710.55,1244,1.0500842255055851,77.1642282958201
Marcel Tisserand,Def,Wolfsburg,Bundesliga,1295.9166666666665,628,1.0337339216052353,81.02468152866244
Borja Mayoral,FW,Wolfsburg,Bundesliga,434.75,132,0.9372071227741336,88.91666666666663
Julian Draxler,Mid,Wolfsburg,Bundesliga,1086.8833333333332,381,1.0168446674441292,82.59816272965878
Ignacio Camacho,Mid,Wolfsburg,Bundesliga,1004.3166666666667,383,0.9993411986365666,82.03838120104447
Riechedly Bazoer,Mid,Wolfsburg,Bundesliga,1625.6333333333332,585,0.9798698950528224,87.92376068376079
Divock Origi,FW,Wolfsburg,Bundesliga,2019.5166666666669,333,0.9792214836966656,85.25495495495505
Yunus Malli,Mid,Wolfsburg,Bundesliga,3579.083333333333,1081,0.9748337468472188,80.94551341350598
Philipp Wollscheid,Def,Wolfsburg,Bundesliga,568.9166666666666,329,1.0455662143191389,83.14164133738602
Robin Knoche,Def,Wolfsburg,Bundesliga,4149.65,2355,1.0292545625072278,85.5235244161361
Ricardo Rodríguez,Def,Wolfsburg,Bundesliga,2048.6333333333328,1064,1.038186103121167,82.47105263157903
Luiz Gustavo,Mid,Wolfsburg,Bundesliga,2460.816666666667,1144,1.0213213574400493,85.75891608391622
Maximilian Arnold,Mid,Wolfsburg,Bundesliga,5092.033333333334,2232,1.0077549140049131,84.02580645161298
Daniel Caligiuri,Mid,Wolfsburg,Bundesliga,1118.8000000000004,388,1.0084351043342468,76.41726804123716
Christian Träsch,Def,Wolfsburg,Bundesliga,729.6,387,0.9696360273652832,71.95219638242897
Jakub Blaszczykowski,Mid,Wolfsburg,Bundesliga,2263.850000000001,844,1.0131306044087367,76.83471563981047
Sebastian Jung,Def,Wolfsburg,Bundesliga,384.86666666666673,122,1.0145749694536568,75.13442622950821
Mario Gomez,FW,Wolfsburg,Bundesliga,3908.299999999999,562,0.8791097323364454,84.20035587188612
Yannick Gerhardt,Mid,Wolfsburg,Bundesliga,3608.5166666666655,1396,1.0008493934232654,80.8768624641836
Paul-Georges Ntep,Mid,Wolfsburg,Bundesliga,705.9166666666665,223,0.9113857260206624,74.78878923766813
Jeffrey Bruma,Def,Wolfsburg,Bundesliga,2780.183333333333,1375,1.0292771216218612,85.70887272727283
Daniel Didavi,Mid,Wolfsburg,Bundesliga,3341.25,1121,0.9665740908297904,82.32355040142733
Vieirinha,Mid,Wolfsburg,Bundesliga,1260.8833333333332,459,1.0098408849562632,75.29389978213517
Josuha Guilavogui,Mid,Wolfsburg,Bundesliga,4122.733333333334,1924,1.0085940115628929,86.78019750519772
William,Def,Wolfsburg,Bundesliga,1676.0166666666669,731,0.9986298291273668,75.47961696306437
Landry Dimata,FW,Wolfsburg,Bundesliga,976.45,154,1.0124057480469633,85.94675324675327
Gian-Luca Itter,Def,Wolfsburg,Bundesliga,428.41666666666674,132,1.0024038227594323,77.84318181818183
Paul Seguin,Mid,Wolfsburg,Bundesliga,1332.5,594,0.9947219626077618,86.8218855218855
Jannes Horn,Def,Wolfsburg,Bundesliga,1020.5833333333333,344,1.011523361459504,79.89331395348842
Renato Steffen,Mid,Wolfsburg,Bundesliga,692.3166666666666,189,0.9547832706488006,82.01534391534395
Paul Jäckel,Def,Wolfsburg,Bundesliga,282.43333333333334,118,1.0158770055716144,80.91864406779659
Dominik Kohr,Mid,Leverkusen,Bundesliga,1802.783333333333,815,1.010786536323335,84.97300613496944
Admir Mehmedi,Mid,Leverkusen,Bundesliga,2040.6,687,0.9788268945522,82.23609898107715
Roberto Hilbert,Def,Leverkusen,Bundesliga,611.3166666666667,221,1.0819355632867511,69.8429864253394
Ömer Toprak,Def,Leverkusen,Bundesliga,2179.55,1052,1.029431525035617,85.59857414448688
Lars Bender,Mid,Leverkusen,Bundesliga,2240.4666666666667,985,1.003730680405044,80.0060913705585
Stefan Kießling,FW,Leverkusen,Bundesliga,920.8000000000003,147,0.9770395701025896,80.76598639455781
Kevin Volland,FW,Leverkusen,Bundesliga,4245.3,1018,0.9438884759462264,79.82278978389002
Jonathan Tah,Def,Leverkusen,Bundesliga,4223.000000000001,2089,1.0210351852226769,87.48477740545718
Hakan Calhanoglu,Mid,Leverkusen,Bundesliga,1267.9833333333333,679,1.0058408389701934,80.38468335787935
Chicharito,FW,Leverkusen,Bundesliga,1895.533333333333,365,0.9371635184175896,82.44054794520547
Sven Bender,Def,Leverkusen,Bundesliga,2402.433333333333,1375,1.0296458744806327,88.07970909090935
Julian Baumgartlinger,Mid,Leverkusen,Bundesliga,3029.3166666666675,1634,1.0273949224163226,89.64932680538564
Karim Bellarabi,Mid,Leverkusen,Bundesliga,2358.183333333333,851,0.974604416137462,75.71844888366633
Julian Brandt,Mid,Leverkusen,Bundesliga,4812.833333333334,2031,0.9820796876223782,82.62292302642402
Aleksandar Dragovic,Def,Leverkusen,Bundesliga,1356.7666666666667,625,1.006689377968091,87.73312000000011
